lactate_abg,ph_abg,hco3_abg,temp_c,temp_nc,urea,creatinine,sodium,k,hb,wbc,neutrophil,platelets,crp,chemo,chronic_rrt,metastatic,radiotx,apache,medical,system,height,weight,elective_surgical,arrival_dttm,discharge_dttm,dob,vital_status,sex,nhs_number,age_years,los,bmi,gender
1.2,7.44,28,36.9,37.1,3,80,135,4.2,90,9.6,7.35,295,240.3,0,0,0,0,6,0,3,1.65,65,1,2014-01-01T13:06:16Z,2014-01-02T01:06:16Z,1964-01-01,A,F,4815548382,50,1,238751.1478420569,F
1.8,7.3,20.2,36.6,36.4,5.8,93,140,4.4,118,11.5,9.25,145,85,1,1,1,1,8,0,2,1.8,50,1,2014-01-01T00:35:32Z,2014-01-05T00:35:32Z,1984-01-01,A,M,2275329935,30,4,154320.98765432095,M
1.4,7.48,24.6,37.2,36.2,4.5,75,140,3.8,113,12.4,11.5,211,12,1,1,1,1,15,1,3,1.7,70,0,2014-01-01T01:24:13Z,2014-01-05T13:24:13Z,1964-01-01,A,F,4254924933,50,4,242214.5328719723,F
1.5,7.33,22.3,35.4,35.8,13.7,173,136,5,117,13.2,8.9,159,9,1,1,1,1,14,0,7,1.5,95,1,2014-01-01T11:31:51Z,2014-01-02T23:31:51Z,1944-01-01,A,M,6855171494,70,1,422222.22222222225,M
0.7,7.21,20,35.9,37.1,7.9,186,140,4.9,171,20,14.59,128,8.9,0,0,0,0,15,0,2,1.9,75,1,2014-01-01T14:03:18Z,2014-01-08T14:03:18Z,1934-01-01,A,M,7327666664,80,7,207756.23268698063,M
2.6,7.5,25.3,36.1,35.6,8.9,81,138,4.2,110,16.9,15.6,271,8.9,0,0,0,0,15,0,10,1.6,95,1,2014-01-01T01:17:53Z,2014-01-03T13:17:53Z,1934-01-01,A,F,2359744275,80,2,371093.75,F
3,7.29,19.5,35.6,38.3,12.5,55,138,5,132,13.2,10.4,360,30,0,0,0,0,20,0,1,1.6,60,0,2014-01-02T19:36:04Z,2014-01-06T19:36:04Z,1934-01-02,A,F,4116478873,80,4,234375,F
1.2,7.4,23.1,35.9,36.1,9.4,251,138,5.8,99,15.7,12.9,265,8,1,1,1,1,20,0,3,1.75,75,1,2014-01-02T02:26:12Z,2014-01-04T02:26:12Z,1974-01-02,A,M,7337888422,40,2,244897.95918367343,M
1.6,7.36,24,35.9,36.6,12.9,390,134,6.5,9.7,8.85,7.84,127,11.8,1,1,1,1,18,1,1,1.45,60,0,2014-01-02T22:52:17Z,2014-01-16T22:52:17Z,1964-01-02,A,M,6938686289,50,14,285374.5541022593,M
1.4,7.43,22,36.6,37.3,5.1,56,139,4.6,141,13.5,12.45,281,58,1,0,0,0,56,1,4,1.7,85,0,2014-01-03T15:57:45Z,2014-01-07T03:57:45Z,1944-01-03,A,M,7259638168,70,4,294117.6470588235,M
5.9,7.33,17,36.4,36.7,NA,59,143,3.4,109,24.6,24.2,175,39.6,0,0,1,0,22,1,1,1.65,70,0,2014-01-03T06:24:52Z,2014-01-12T06:24:52Z,1994-01-03,A,F,3522277430,20,9,257116.62075298437,F
3.5,7.452,17.4,37.8,37.2,8.2,75,139,4.2,92,4.3,3.43,18,193,1,0,1,0,18,0,3,1.75,80,1,2014-01-06T13:10:05Z,2014-01-10T01:10:05Z,1964-01-06,A,M,9144987269,50,4,261224.48979591834,M
2,7.36,26.4,35,36.4,6.7,117,139,5.7,119,15.2,13.73,279,2,0,0,0,0,16,0,2,1.75,80,1,2014-01-06T18:38:50Z,2014-01-08T18:38:50Z,1934-01-06,A,M,9959447243,80,2,261224.48979591834,M
7.2,7.31,21,36.5,35.3,7.8,120,144,4.2,100,13.5,12.4,187,13,1,0,0,0,30,0,7,1.65,95,0,2014-01-07T00:19:07Z,2014-01-09T00:19:07Z,1934-01-07,A,F,4813841236,80,2,348943.98530762165,F
1.3,7.46,25.2,37.1,36.8,19,163,135,2.4,91,14.3,12.6,172,17,0,0,0,0,25,0,7,1.85,95,1,2014-01-07T14:25:52Z,2014-01-10T14:25:52Z,1974-01-07,A,M,8129296195,40,3,277574.8721694667,M
3.3,7.43,22,35.2,38,3.2,65,136,4.2,116,3.9,2.7,231,130.1,0,0,0,0,25,0,3,1.65,65,1,2014-01-07T23:40:54Z,2014-01-11T11:40:54Z,1944-01-07,A,F,3841614183,70,4,238751.1478420569,F
1.8,7.44,30.4,37,38,6.1,54,138,3.2,102,14.3,13.24,497,297,0,0,0,0,25,1,2,1.65,60,0,2014-01-07T19:47:42Z,2014-01-09T19:47:42Z,1934-01-07,A,F,4144974359,80,2,220385.67493112944,F
0.9,7.437,22.7,36.5,36.7,1.7,56,134,4.3,102,11.8,11.2,201,1,1,1,0,1,7,0,7,1.8,125,1,2014-01-07T20:29:19Z,2014-01-11T20:29:19Z,1974-01-07,A,F,5348491926,40,4,385802.4691358024,F
2,7.37,23.8,36.7,36.5,7.1,99,143,4.3,97,11.9,11.42,87,95.7,1,0,0,0,15,0,2,1.7,75,1,2014-01-08T16:24:02Z,2014-01-13T16:24:02Z,1934-01-08,A,M,4729483286,80,5,259515.57093425601,M
10.4,7.33,14.1,35,34.5,NA,127,126,4.4,109,5.9,4.63,229,63,0,0,0,0,28,1,1,1.45,50,0,2014-01-08T04:05:28Z,2014-01-12T04:05:28Z,1944-01-08,A,F,5531436580,70,4,237812.1284185494,F
1,7.49,38,37,36.1,10.1,66,142,3.7,75,10.8,8.7,213,247,1,0,1,0,-1,0,3,1.85,140,1,2014-01-10T17:26:12Z,2014-01-18T17:26:12Z,1944-01-10,A,M,8398636254,70,8,409057.7063550035,M
3.2,7.473,27.2,35.9,37.5,5.8,98,139,3.9,102,6.8,5.9,215,3,1,1,0,1,39,0,7,1.5,50,0,2014-01-10T05:42:32Z,2014-01-13T05:42:32Z,1964-01-10,A,M,6229928752,50,3,222222.22222222222,M
